# Fields: Name	IMDB ID	Wikipedia	Chortle ID	Gender
Anthony Horowitz	nm0395275	Anthony_Horowitz		male
Anthony Howard				male
Anthony Joshua		Anthony_Joshua		male
Anthony Kenny		Anthony_Kenny		male
Anthony McFarlane				male
Anthony McPartlin	nm0574128	Anthony_McPartlin		male
Anthony O'Hear				male
Anthony Ogogo		Anthony_Ogogo		male
Anthony O’Hear		Anthony_O%27Hear		male
Anthony Parson				male
Anthony Sampson		Anthony_Sampson		male
Anthony Scrivener		Anthony_Scrivener		male
Anthony Valentine	nm0002242	Anthony_Valentine		male
Antoinette Ryan				female
Anton Du Beke	nm1625897	Anton_du_Beke		male
Anton Rodgers	nm0734668	Anton_Rodgers		male
Anton du Beke	nm1625897	Anton_du_Beke		male
Antonia Fraser		Antonia_Fraser		female
Antonio Banderas	nm104	Antonio_Banderas		male
Antonio Carluccio		Antonio_Carluccio		male
Antonio Fargas	nm0267279	Antonio_Fargas		male
Antony Audenshaw	nm0041541	Tony_Audenshaw		male
Antony Costa		Antony_Costa		male
Antony Cotton	nm0183067	Antony_Cotton		male
Antony Hopkins	nm0394107	Antony_Hopkins		male
Antony Viccars				male
Antony Worrall Thompson		Antony_Worrall_Thompson		male
Antti Niemi				male
Anuvab Pal				male
Anya Sitaram				female
Aoife McLysaght				female
April Ashley	nm39018	April_Ashley		female
Arabella Weir	nm0918572	Arabella_Weir		female
Aravinda de Silva		Aravinda_de_Silva		male
Archie Norman		Archie_Norman		male
Archy Kirkwood		Archy_Kirkwood,_Baron_Kirkwood_of_Kirkhope		male
Ardal O'Hanlon			83	male
Ardis Butterfield				female
Ariana Grande	nm3812858	Ariana_Grande		female
Arianna Stassinopoulos	nm400251	Arianna_Huffington		female
Ariel Dorfman	nm0233557	Ariel_Dorfman		female
Arlene Foster		Arlene_Foster		female
Arlene Phillips		Arlene_Phillips		female
Armando Iannucci	nm0406334	Armando_Iannucci	33191	male
Arnold Weinstock		Arnold_Weinstock		male
Arron Crascall				male
Art Malik	nm539562	Art_Malik		male
Arthur I. Miller		Arthur_I._Miller		male
Arthur Lowe	nm0522884	Arthur_Lowe		male
Arthur Marshall				male
Arthur Scargill		Arthur_Scargill		male
Arthur Smith	nm0807364	Arthur_Smith_(comedian)	33297	male
Arwen Deuss				female
Asa Briggs		Asa_Briggs		male
Ashford Campbell				male
Ashia Hansen		Ashia_Hansen		female
Ashlee Simpson	nm1249883	Ashlee_Simpson		female
Ashleigh & Pudsey		Ashley_(name)		other
Ashleigh Butler		Ashleigh_and_Pudsey		female
Ashley Banjo		Ashley_Banjo		male
Ashley Giles		Ashley_Giles		male
Ashley Jackson				male
Ashley Pearson				female
Ashley Roberts	nm0730841	Ashley_Roberts		female
Ashley Slater		Ashley_Slater		female
Ashley Taylor Dawson	nm0206063	Ashley_Taylor_Dawson		male
