z5h8zk70,"Kiri Pritchard-Mclean",Herself,female,,57,32:17;57:11;10:10;39:3;90:2;17:2;0:2,Kiri_Pritchard_Mclean
1rtqz52s,"Russell Kane",Himself,male,1975,57,50:8;87:6;0:5;18:4;52:3;12:3;77:2,Russell_Kane
4p90zyay,"Andree Melly",Herself,female,1932,56,50:54,Andrée_Melly
om2iuo4o,"Gabby Logan",Herself,female,1973,56,31:8;3:8;93:7;52:7;0:7;86:3;41:3,Gabby_Logan
bk2xi19y,"Germaine Greer",Herself,female,1939,56,68:20;39:10;65:9;38:6;42:2;94:1;93:1,Germaine_Greer
08tkx8oo,"Justin Moorhouse",Himself,male,1970,56,31:33;57:8;49:6;50:4,Justin_Moorhouse
u45htdbh,"Shirley Williams",Herself,female,1930,56,68:56,Shirley_Williams
ea7kakgp,"Alun Cochrane",Himself,male,1975,55,50:21;57:6;14:6;54:5;0:4;39:2,Alun_Cochrane
ezydy7r2,"Cliff Morgan",Himself,male,1930,55,66:55,Cliff_Morgan
8bduf8ih,"Frank Skinner",Himself,male,1957,55,39:11;78:6;25:6;56:4;58:3;38:3;94:2,Frank_Skinner
xdkm2n7q,"Ian Stone",Himself,male,,54,31:50,Ian_Stone
xq202779,"Josie Lawrence",Herself,female,1959,54,50:49,Josie_Lawrence
xoptut0i,"Lou Sanders",Herself,female,,54,85:20;78:11;61:6;2:4;40:3;7:3;93:2,Lou_Sanders
uk8mmmbl,"Reginald D. Hunter",Himself,male,1969,53,39:14;46:8;0:6;85:4;76:3;2:3;94:2,Reginald_D._Hunter
4o00yn0w,"Sophie Duker",Herself,female,1990,53,32:17;78:11;33:5;54:4;57:3;14:3;0:2,Sophie_Duker
acajgupg,"Claudia Winkleman",Herself,female,1972,52,0:9;93:8;11:8;17:7;56:4;3:4;39:3,Claudia_Winkleman
bchqpuf7,"Myleene Klass",Herself,female,1978,52,52:40;56:4;18:4,Myleene_Klass
35eciypt,"Richard Herring",Himself,male,1967,52,78:11;50:9;38:5;92:3;4:3;74:2;57:2,Richard_Herring
27y8byz9,"Rory Bremner",Himself,male,1961,52,43:16;14:12;54:10;57:8;86:2;91:1;70:1,Rory_Bremner
ob8tp2nu,"Simon Evans",Himself,male,1965,52,57:36;85:5;68:2;58:2;14:2,Simon_Evans
dvfmpovw,"Arthur Smith",Himself,male,1954,50,85:23;86:5;56:3;50:3;48:3;38:3;2:3,Arthur_Smith_(comedian)
k5okmclt,"Gary O'Reilly",Himself,male,1961,49,31:49,Gary_O'Reilly
jv4w409s,"Hamish Blake",Himself,male,,49,76:49,
9w6faun1,"Jay Lafferty",Herself,female,,49,14:49,
bmrxku03,"Jo Bunting",Herself,female,,49,52:32;90:15;38:2,Jo_Bunting
hf0tqhpm,"John Cushnie",Himself,male,,49,36:49,
h6o9xvx5,"Kevin Bridges",Himself,male,1986,49,31:8;17:7;39:6;3:5;52:3;11:3;93:2,Kevin_Bridges
wuf3ef9r,"Ria Lina",Herself,female,1980,49,57:14;14:10;85:8;54:6;50:3;39:3;10:2,Ria_Lina
3qd06beg,"Shobna Gulati",Herself,female,1966,49,52:42;16:5,Shobna_Gulati
j0l9nspu,"Will Self",Himself,male,1961,49,72:20;68:14;39:9;85:2;50:2;48:1;42:1,Will_Self
29crsgwm,"Eamonn Holmes",Himself,male,1959,48,18:12;52:9;44:8;16:6;93:2;3:2;0:2,Eamonn_Holmes
ljv92t17,"Joe Swash",Himself,male,1982,48,30:18;18:17;52:4;0:3;87:2;93:1;71:1,Joe_Swash
6993z4xk,"Nina Wadia",Herself,female,1969,48,52:37;16:5,Nina_Wadia
ak7ipqjj,"Dave Spikey",Himself,male,1951,47,0:35;52:9,Dave_Spikey
306w9rz5,"Mark Hodge",Himself,male,,47,33:47,
qe4nnl4n,"Susie McCabe",Herself,female,,47,14:29;57:8;32:7;13:2,
jzw2u6u6,"Ellie Taylor",Herself,female,1983,46,30:18;54:9;87:3;0:3;85:2;7:2;93:1,Ellie_Taylor
rjsxrh2y,"Jim White",Himself,male,,46,31:46,Jim_White_(journalist)
6pkvvx8p,"Menzies Campbell",Himself,male,1941,46,68:46,Menzies_Campbell
lb20etio,"Trish Adudu",Herself,female,1969,46,52:46,Trish_Adudu
m20sraag,"Ann Leslie",Herself,female,1941,45,68:27;57:17,Ann_Leslie
zs45y9m6,"Felicity Ward",Herself,female,1980,45,57:10;76:9;14:7;33:5;54:4;50:3;13:2,Felicity_Ward
178d9vni,"Harriet Harman",Herself,female,1950,45,68:43,Harriet_Harman
5eveb8p1,"Jo Caulfield",Herself,female,1965,45,14:13;54:6;31:5;50:4;57:3;39:3;85:2,Jo_Caulfield
m2pllc47,"Joan Bakewell",Herself,female,1933,45,57:25;39:6;16:6;63:4;50:2,Joan_Bakewell
gr0xurn4,"Nick Grimshaw",Himself,male,1984,45,77:32;18:5;56:3;0:2,Nick_Grimshaw
zoe5sjqv,"Rochelle Humes",Herself,female,Wiki,45,77:29;52:8;18:6,Rochelle_Humes
9t9u6aoh,"Ivo Graham",Himself,male,1990,44,78:10;31:10;54:6;39:3;50:2;40:2;93:1,Ivo_Graham
ikv6fsuk,"Katy Brand",Herself,female,1979,44,57:12;38:6;82:5;56:3;4:3;92:2;41:2,Katy_Brand
z7kyp79h,"Rhys James",Himself,male,,44,54:36;77:2,
