Episode,Date,Guests (Himself/Herself - Role),References
12x05,1996-11-01,5b7d718r:Angus Deayton (Himself - Host);lb5f5k2o:Gordon Kennedy (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);qmrglrz8:Elvis Costello (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
12x06,1996-11-08,5b7d718r:Angus Deayton (Himself - Host);ltky6r8w:Tony Hawks (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);16i8gsv8:Vincent Hanna (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
12x07,1996-11-15,5b7d718r:Angus Deayton (Himself - Host);potst3ir:Mark Hurst (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);k0jzn1xr:Francis Wheen (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
12x08,1996-11-22,5b7d718r:Angus Deayton (Himself - Host);9ldflfdo:Jack Docherty (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);6ma7i8rw:Austin Mitchell (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
12x09,1996-11-29,5b7d718r:Angus Deayton (Himself - Host);hk2rczao:Alan Davies (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);3w9xweu7:Jennifer Paterson (Herself);3dai14ts:Paul Merton (Himself - Team Captain);,
13x01,1997-04-18,5b7d718r:Angus Deayton (Himself - Host);bbjlysaj:Fred MacAulay (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);eywcqucc:Daniel 'Swampy' Hopper (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
13x02,1997-04-25,5b7d718r:Angus Deayton (Himself - Host);i5uubaby:Hugh Dennis (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);j0l9nspu:Will Self (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
13x04,1997-05-09,5b7d718r:Angus Deayton (Himself - Host);homuapft:Maureen Lipman (Herself);tub6hiln:Ian Hislop (Himself - Team Captain);85bqozg0:Neil Hamilton (Himself);0zaqyptm:Christine Hamilton (Herself);3dai14ts:Paul Merton (Himself - Team Captain);,
13x05,1997-05-16,5b7d718r:Angus Deayton (Himself - Host);9ldflfdo:Jack Docherty (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);rgwo1xt3:Greg Dyke (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
13x06,1997-05-23,5b7d718r:Angus Deayton (Himself - Host);yy0vihbr:Sue Perkins (Herself);tub6hiln:Ian Hislop (Himself - Team Captain);kgz0o86j:Eve Pollard (Herself);3dai14ts:Paul Merton (Himself - Team Captain);,
13x07,1997-05-30,5b7d718r:Angus Deayton (Himself - Host);92eoqkw9:Martin Clunes (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);d4u0coor:Michael Parkinson (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
13x08,1997-06-06,5b7d718r:Angus Deayton (Himself - Host);c0evx1jf:Dominic Holland (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);bk2xi19y:Germaine Greer (Herself);3dai14ts:Paul Merton (Himself - Team Captain);,
14x01,1997-10-24,5b7d718r:Angus Deayton (Himself - Host);i0oci9rv:Bob Monkhouse (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);hh3bsso3:Ken Livingstone (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
14x02,1997-10-31,5b7d718r:Angus Deayton (Himself - Host);2czgxtm7:Max Boyce (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);eu75a1wo:Alex Salmond (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
14x03,1997-11-07,5b7d718r:Angus Deayton (Himself - Host);z9jpoczk:Dermot Morgan (Himself);tub6hiln:Ian Hislop (Himself - Team Captain);k0jzn1xr:Francis Wheen (Himself);3dai14ts:Paul Merton (Himself - Team Captain);,
